amfi_code,Sortino Ratio,scheme_name,Rank
100016,-0.4728224084369747,HDFC Top 100 Fund - Regular Plan - Growth,34.0
100025,-1.4612200367895027,HDFC Short Term Debt Fund - Regular - Growth,37.0
100033,1.1442164603950202,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7.0
101206,1.0639085968011799,ABSL Frontline Equity Fund - Regular - Growth,11.0
101207,0.07566830445152811,ABSL Small Cap Fund - Regular - Growth,27.0
101208,-8.741654278994412,ABSL Liquid Fund - Regular - Growth,40.0
102885,0.7729719235511073,UTI Nifty 50 Index Fund - Regular - Growth,16.0
102886,-0.4205889785291457,UTI Mid Cap Fund - Regular - Growth,33.0
102887,0.571857543023029,UTI Flexi Cap Fund - Regular - Growth,21.0
118632,1.0988795112458636,Nippon India Large Cap Fund - Regular - Growth,8.0
118633,0.5886328565297931,Nippon India Large Cap Fund - Direct - Growth,19.0
118634,0.41130360047665027,Nippon India Small Cap Fund - Regular - Growth,23.0
118635,0.5694261625753934,Nippon India ETF Nifty 50 BeES,22.0
118636,-1.2383022198784408,Nippon India Gilt Securities Fund - Regular - Growth,36.0
119092,-0.18918833169513888,Axis Bluechip Fund - Regular - Growth,30.0
119093,-0.06789981210009612,Axis Bluechip Fund - Direct - Growth,28.0
119094,1.0552844773147763,Axis Midcap Fund - Regular - Growth,12.0
119095,-0.21634600934828307,Axis Small Cap Fund - Regular - Growth,32.0
119120,-1.045909778283203,SBI Magnum Gilt Fund - Regular Plan - Growth,35.0
119551,1.2914833497690066,SBI Bluechip Fund - Regular Plan - Growth,4.0
119552,0.9265632920561693,SBI Bluechip Fund - Direct Plan - Growth,15.0
119598,1.0672557743438265,SBI Small Cap Fund - Regular Plan - Growth,9.0
119599,-0.19003542050379565,SBI Small Cap Fund - Direct Plan - Growth,31.0
120503,0.7329158023031636,ICICI Pru Bluechip Fund - Regular - Growth,18.0
120504,1.0639638792991957,ICICI Pru Bluechip Fund - Direct - Growth,10.0
120505,1.2858427838168305,ICICI Pru Midcap Fund - Regular - Growth,5.0
120506,0.5781364061026485,ICICI Pru Value Discovery Fund - Regular - Growth,20.0
120507,-7.208233748898268,ICICI Pru Liquid Fund - Regular - Growth,38.0
120841,0.3766193408262903,Kotak Bluechip Fund - Regular - Growth,24.0
120842,-0.08069596764131792,Kotak Emerging Equity Fund - Regular - Growth,29.0
120843,1.4795034584167766,Kotak Flexicap Fund - Regular - Growth,2.0
120844,-7.768003070332341,Kotak Liquid Fund - Regular - Growth,39.0
125497,0.734797599748163,HDFC Top 100 Fund - Direct Plan - Growth,17.0
125498,0.19294712720125923,HDFC Mid-Cap Opportunities Fund - Direct - Growth,26.0
148567,1.490738952294708,Mirae Asset Large Cap Fund - Regular - Growth,1.0
148568,0.955767194381326,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.0
148569,1.3528150221233652,Mirae Asset Tax Saver Fund - Regular - Growth,3.0
149322,0.33295209417121097,DSP Top 100 Equity Fund - Regular - Growth,25.0
149323,1.167793379907482,DSP Midcap Fund - Regular - Growth,6.0
149324,1.0309617308730288,DSP Small Cap Fund - Regular - Growth,13.0
